,Date,Bexley,Hounslow
197,2000-07-15,10.5,17.1
198,2000-07-16,14.1,19.8
199,2000-07-17,NA,34.2
200,2000-07-18,NA,36.6
201,2000-07-19,NA,29.1
202,2000-07-20,28,29.3
203,2000-07-21,30.8,36.7
204,2000-07-22,14.6,17
205,2000-07-23,11.7,12.7
206,2000-07-24,11.7,11.4
207,2000-07-25,22.5,28.5
208,2000-07-26,35.2,35.8
209,2000-07-27,26.4,29.1
210,2000-07-28,15.9,21.2
211,2000-07-29,15.1,17.5
212,2000-07-30,15,16.8
213,2000-07-31,12.5,17.9
214,2000-08-01,12.1,18.7
215,2000-08-02,16.8,21.3
216,2000-08-03,14.5,18.9
217,2000-08-04,24.8,27.2
218,2000-08-05,23.4,23.1
219,2000-08-06,14.8,14.1
220,2000-08-07,14.9,15.9
221,2000-08-08,17.5,22.4
222,2000-08-09,15.1,19.1
223,2000-08-10,13.8,19.7
224,2000-08-11,40.1,28.8
225,2000-08-12,18.3,24.7
226,2000-08-13,20.7,18.5
227,2000-08-14,13.5,18.6
228,2000-08-15,11.2,17.2
229,2000-08-16,18.7,16.4
230,2000-08-17,25.7,21.3
231,2000-08-18,17.3,26.8
232,2000-08-19,10,14.8
233,2000-08-20,18.5,17.8
234,2000-08-21,12.5,16.9
235,2000-08-22,18.4,23
236,2000-08-23,22,27.1
237,2000-08-24,29.1,38.6
238,2000-08-25,29.8,37.7
239,2000-08-26,26.1,31.5
240,2000-08-27,15.1,17.6
241,2000-08-28,9,12.7
242,2000-08-29,18.4,20.8
243,2000-08-30,13,19.8
244,2000-08-31,19.5,28
245,2000-09-01,9,16
246,2000-09-02,13.8,19.2
247,2000-09-03,13.2,20.3
248,2000-09-04,20.8,29.5
249,2000-09-05,15.6,22.8
250,2000-09-06,11.7,18.2
251,2000-09-07,19.3,30.2
252,2000-09-08,11.2,21.8
253,2000-09-09,11.7,20.3
254,2000-09-10,16.5,22.6
255,2000-09-11,28.9,34.6
256,2000-09-12,16.4,19.4
257,2000-09-13,17.6,19.7
258,2000-09-14,13,18.9
259,2000-09-15,16.5,24.1
260,2000-09-16,10.3,16.5
261,2000-09-17,12.3,17.4
262,2000-09-18,8.1,16.4
263,2000-09-19,11.2,17.2
264,2000-09-20,10.7,21.4
265,2000-09-21,16.3,27.1
266,2000-09-22,14.8,20.7
267,2000-09-23,19.5,25
268,2000-09-24,14.9,20.7
269,2000-09-25,10.2,18.7
270,2000-09-26,14.9,25.2
271,2000-09-27,10.7,17.8
272,2000-09-28,10.8,22.4
273,2000-09-29,15.5,26.5
274,2000-09-30,17.1,26.2
275,2000-10-01,11.7,17.5
276,2000-10-02,11.7,16.7
277,2000-10-03,20.8,28.3
278,2000-10-04,18.9,22.8
279,2000-10-05,11.5,16.6
280,2000-10-06,13,18
281,2000-10-07,11.2,21.2
282,2000-10-08,12.5,17.8
283,2000-10-09,7.1,16.3
284,2000-10-10,7.2,13.7
